retriever,K,hops,mode,hits1,f1,proof_rate,budget_overflow,total_traces,n_queries,time_s
tfidf_iter,25,3,classic_lp,0.22,0.13257359493264814,0.22,0,118,150,0.9835779666900635
tfidf_iter,25,3,neural_only,0.4266666666666667,0.1746029809827735,0.0,0,0,150,0.0011992454528808594
tfidf,50,1,sell,0.9933333333333333,0.9933333333333333,0.9933333333333333,0,220,150,2.5349390506744385
tfidf,50,1,classic_lp,0.9933333333333333,0.9933333333333333,0.9933333333333333,0,220,150,2.1710269451141357
tfidf,50,1,neural_only,0.34,0.22877117653588244,0.0,0,0,150,0.0024271011352539062
tfidf,50,2,sell,1.0,0.9967362869198312,1.0,0,709,150,2.2180187702178955
tfidf,50,2,classic_lp,1.0,0.9967362869198312,1.0,0,709,150,1.8812777996063232
tfidf,50,2,neural_only,0.11333333333333333,0.06525194191151637,0.0,0,0,150,0.0023610591888427734
tfidf,50,3,sell,0.013333333333333334,0.0038095238095238095,0.013333333333333334,0,4,150,1.1483631134033203
tfidf,50,3,classic_lp,0.013333333333333334,0.0038095238095238095,0.013333333333333334,0,4,150,0.974128007888794
tfidf,50,3,neural_only,0.49333333333333335,0.18967030587177508,0.0,0,0,150,0.0018458366394042969
bm25,50,1,sell,0.98,0.98,0.98,0,218,150,2.6006338596343994
bm25,50,1,classic_lp,0.98,0.98,0.98,0,218,150,2.211120128631592
bm25,50,1,neural_only,0.3466666666666667,0.21529673197330246,0.0,0,0,150,0.0030241012573242188
bm25,50,2,sell,1.0,0.9985964912280701,1.0,0,711,150,2.3775508403778076
bm25,50,2,classic_lp,1.0,0.9985964912280701,1.0,0,711,150,2.04131817817688
bm25,50,2,neural_only,0.11333333333333333,0.05698210064167512,0.0,0,0,150,0.0025801658630371094
bm25,50,3,sell,0.013333333333333334,0.0038095238095238095,0.013333333333333334,0,4,150,1.1243619918823242
bm25,50,3,classic_lp,0.013333333333333334,0.0038095238095238095,0.013333333333333334,0,4,150,0.9521398544311523
bm25,50,3,neural_only,0.5266666666666666,0.21886979689750338,0.0,0,0,150,0.002293825149536133
tfidf_iter,50,1,sell,0.9933333333333333,0.991111111111111,0.9933333333333333,0,219,150,2.7589609622955322
tfidf_iter,50,1,classic_lp,0.9933333333333333,0.991111111111111,0.9933333333333333,0,219,150,2.275880813598633
tfidf_iter,50,1,neural_only,0.37333333333333335,0.26698556998556994,0.0,0,0,150,0.0025780200958251953
tfidf_iter,50,2,sell,0.9933333333333333,0.9882061402713447,0.9933333333333333,0,701,150,2.240283727645874
tfidf_iter,50,2,classic_lp,0.9933333333333333,0.9882061402713447,0.9933333333333333,0,701,150,1.9118421077728271
tfidf_iter,50,2,neural_only,0.16666666666666666,0.08962890812890813,0.0,0,0,150,0.0023162364959716797
tfidf_iter,50,3,sell,0.2733333333333333,0.18433753008675524,0.2733333333333333,0,173,150,1.1454291343688965
tfidf_iter,50,3,classic_lp,0.2866666666666667,0.19767086342008858,0.2866666666666667,0,175,150,0.992866039276123
tfidf_iter,50,3,neural_only,0.47333333333333333,0.1728838891445557,0.0,0,0,150,0.0019009113311767578
tfidf,100,1,sell,1.0,1.0,1.0,0,221,150,2.91508412361145
tfidf,100,1,classic_lp,1.0,1.0,1.0,0,221,150,2.179602861404419
tfidf,100,1,neural_only,0.24666666666666667,0.1495710067710068,0.0,0,0,150,0.0042078495025634766
tfidf,100,2,sell,1.0,1.0,1.0,0,727,150,2.5518991947174072
tfidf,100,2,classic_lp,1.0,1.0,1.0,0,727,150,2.0781948566436768
tfidf,100,2,neural_only,0.12666666666666668,0.07152512486890987,0.0,0,0,150,0.0045108795166015625
tfidf,100,3,sell,0.013333333333333334,0.0038095238095238095,0.013333333333333334,0,4,150,1.3533382415771484
tfidf,100,3,classic_lp,0.013333333333333334,0.0038095238095238095,0.013333333333333334,0,4,150,1.0041930675506592
tfidf,100,3,neural_only,0.4666666666666667,0.17922316050078965,0.0,0,0,150,0.0037441253662109375
bm25,100,1,sell,0.9866666666666667,0.9866666666666667,0.9866666666666667,0,219,150,2.902848958969116
bm25,100,1,classic_lp,0.9866666666666667,0.9866666666666667,0.9866666666666667,0,219,150,2.2314679622650146
bm25,100,1,neural_only,0.23333333333333334,0.14474306979570137,0.0,0,0,150,0.004765987396240234
bm25,100,2,sell,1.0,1.0,1.0,0,727,150,2.5543181896209717
bm25,100,2,classic_lp,1.0,1.0,1.0,0,727,150,2.1738429069519043
bm25,100,2,neural_only,0.15333333333333332,0.07358446124403571,0.0,0,0,150,0.005889177322387695
bm25,100,3,sell,0.02666666666666667,0.009423558897243106,0.02666666666666667,0,12,150,1.4283299446105957
bm25,100,3,classic_lp,0.02666666666666667,0.009423558897243106,0.02666666666666667,0,12,150,1.0069522857666016
bm25,100,3,neural_only,0.47333333333333333,0.17750247491394375,0.0,0,0,150,0.003526926040649414
tfidf_iter,100,1,sell,0.9933333333333333,0.9933333333333333,0.9933333333333333,0,220,150,2.745342969894409
tfidf_iter,100,1,classic_lp,0.9933333333333333,0.9933333333333333,0.9933333333333333,0,220,150,2.2018849849700928
tfidf_iter,100,1,neural_only,0.25333333333333335,0.17880040989606205,0.0,0,0,150,0.0040760040283203125
tfidf_iter,100,2,sell,1.0,0.9991666666666666,1.0,0,723,150,2.4548768997192383
tfidf_iter,100,2,classic_lp,1.0,0.9991666666666666,1.0,0,723,150,1.9380409717559814
tfidf_iter,100,2,neural_only,0.12666666666666668,0.08046358212315659,0.0,0,0,150,0.003924846649169922
tfidf_iter,100,3,sell,0.32666666666666666,0.20564669998250715,0.32666666666666666,0,195,150,1.2339928150177002
tfidf_iter,100,3,classic_lp,0.3333333333333333,0.2123133666491738,0.3333333333333333,0,196,150,0.9702811241149902
tfidf_iter,100,3,neural_only,0.43333333333333335,0.16878977232783327,0.0,0,0,150,0.0031890869140625
