question_id,noise_rate,mode,m,budget,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_29,0.0,sell,1,200,30,0,48,1.0,0.38461538461538464,0.5555555555555556
3hop_comp_29,0.0,sell,2,200,40,0,38,1.0,0.5128205128205128,0.6779661016949152
3hop_comp_29,0.0,sell,3,200,43,0,35,1.0,0.5512820512820513,0.7107438016528926
3hop_comp_32,0.0,classic_lp,0,0,80,0,0,1.0,1.0,1.0
3hop_comp_32,0.0,sell,1,20,31,0,49,1.0,0.3875,0.5585585585585586
3hop_comp_32,0.0,sell,2,20,44,0,36,1.0,0.55,0.7096774193548387
3hop_comp_32,0.0,sell,3,20,48,0,32,1.0,0.6,0.7499999999999999
3hop_comp_32,0.0,sell,1,200,31,0,49,1.0,0.3875,0.5585585585585586
3hop_comp_32,0.0,sell,2,200,44,0,36,1.0,0.55,0.7096774193548387
3hop_comp_32,0.0,sell,3,200,48,0,32,1.0,0.6,0.7499999999999999
3hop_comp_35,0.0,classic_lp,0,0,77,0,0,1.0,1.0,1.0
3hop_comp_35,0.0,sell,1,20,23,0,54,1.0,0.2987012987012987,0.45999999999999996
3hop_comp_35,0.0,sell,2,20,34,0,43,1.0,0.44155844155844154,0.6126126126126126
3hop_comp_35,0.0,sell,3,20,35,0,42,1.0,0.45454545454545453,0.625
3hop_comp_35,0.0,sell,1,200,23,0,54,1.0,0.2987012987012987,0.45999999999999996
3hop_comp_35,0.0,sell,2,200,34,0,43,1.0,0.44155844155844154,0.6126126126126126
3hop_comp_35,0.0,sell,3,200,35,0,42,1.0,0.45454545454545453,0.625
3hop_comp_36,0.0,classic_lp,0,0,71,0,0,1.0,1.0,1.0
3hop_comp_36,0.0,sell,1,20,17,0,54,1.0,0.23943661971830985,0.38636363636363635
3hop_comp_36,0.0,sell,2,20,30,0,41,1.0,0.4225352112676056,0.5940594059405941
3hop_comp_36,0.0,sell,3,20,35,0,36,1.0,0.49295774647887325,0.660377358490566
3hop_comp_36,0.0,sell,1,200,17,0,54,1.0,0.23943661971830985,0.38636363636363635
3hop_comp_36,0.0,sell,2,200,30,0,41,1.0,0.4225352112676056,0.5940594059405941
3hop_comp_36,0.0,sell,3,200,35,0,36,1.0,0.49295774647887325,0.660377358490566
3hop_comp_43,0.0,classic_lp,0,0,53,0,0,1.0,1.0,1.0
3hop_comp_43,0.0,sell,1,20,15,0,38,1.0,0.2830188679245283,0.4411764705882353
3hop_comp_43,0.0,sell,2,20,21,0,32,1.0,0.39622641509433965,0.5675675675675675
3hop_comp_43,0.0,sell,3,20,21,0,32,1.0,0.39622641509433965,0.5675675675675675
3hop_comp_43,0.0,sell,1,200,15,0,38,1.0,0.2830188679245283,0.4411764705882353
3hop_comp_43,0.0,sell,2,200,21,0,32,1.0,0.39622641509433965,0.5675675675675675
3hop_comp_43,0.0,sell,3,200,21,0,32,1.0,0.39622641509433965,0.5675675675675675
3hop_comp_46,0.0,classic_lp,0,0,65,0,0,1.0,1.0,1.0
3hop_comp_46,0.0,sell,1,20,23,0,42,1.0,0.35384615384615387,0.5227272727272727
3hop_comp_46,0.0,sell,2,20,31,0,34,1.0,0.47692307692307695,0.6458333333333334
3hop_comp_46,0.0,sell,3,20,31,0,34,1.0,0.47692307692307695,0.6458333333333334
3hop_comp_46,0.0,sell,1,200,23,0,42,1.0,0.35384615384615387,0.5227272727272727
3hop_comp_46,0.0,sell,2,200,31,0,34,1.0,0.47692307692307695,0.6458333333333334
3hop_comp_46,0.0,sell,3,200,31,0,34,1.0,0.47692307692307695,0.6458333333333334
3hop_comp_53,0.0,classic_lp,0,0,75,0,0,1.0,1.0,1.0
3hop_comp_53,0.0,sell,1,20,25,0,50,1.0,0.3333333333333333,0.5
3hop_comp_53,0.0,sell,2,20,37,0,38,1.0,0.49333333333333335,0.6607142857142857
3hop_comp_53,0.0,sell,3,20,39,0,36,1.0,0.52,0.6842105263157895
3hop_comp_53,0.0,sell,1,200,25,0,50,1.0,0.3333333333333333,0.5
3hop_comp_53,0.0,sell,2,200,37,0,38,1.0,0.49333333333333335,0.6607142857142857
3hop_comp_53,0.0,sell,3,200,39,0,36,1.0,0.52,0.6842105263157895
3hop_comp_59,0.0,classic_lp,0,0,66,0,0,1.0,1.0,1.0
3hop_comp_59,0.0,sell,1,20,15,0,51,1.0,0.22727272727272727,0.37037037037037035
3hop_comp_59,0.0,sell,2,20,22,0,44,1.0,0.3333333333333333,0.5
3hop_comp_59,0.0,sell,3,20,28,0,38,1.0,0.42424242424242425,0.5957446808510638
3hop_comp_59,0.0,sell,1,200,15,0,51,1.0,0.22727272727272727,0.37037037037037035
3hop_comp_59,0.0,sell,2,200,22,0,44,1.0,0.3333333333333333,0.5
3hop_comp_59,0.0,sell,3,200,28,0,38,1.0,0.42424242424242425,0.5957446808510638
3hop_comp_60,0.0,classic_lp,0,0,64,0,0,1.0,1.0,1.0
3hop_comp_60,0.0,sell,1,20,30,0,34,1.0,0.46875,0.6382978723404256
3hop_comp_60,0.0,sell,2,20,36,0,28,1.0,0.5625,0.72
3hop_comp_60,0.0,sell,3,20,43,0,21,1.0,0.671875,0.8037383177570093
3hop_comp_60,0.0,sell,1,200,30,0,34,1.0,0.46875,0.6382978723404256
3hop_comp_60,0.0,sell,2,200,36,0,28,1.0,0.5625,0.72
3hop_comp_60,0.0,sell,3,200,43,0,21,1.0,0.671875,0.8037383177570093
3hop_comp_64,0.0,classic_lp,0,0,61,0,0,1.0,1.0,1.0
3hop_comp_64,0.0,sell,1,20,22,0,39,1.0,0.36065573770491804,0.5301204819277109
3hop_comp_64,0.0,sell,2,20,28,0,33,1.0,0.45901639344262296,0.6292134831460674
3hop_comp_64,0.0,sell,3,20,28,0,33,1.0,0.45901639344262296,0.6292134831460674
3hop_comp_64,0.0,sell,1,200,22,0,39,1.0,0.36065573770491804,0.5301204819277109
3hop_comp_64,0.0,sell,2,200,28,0,33,1.0,0.45901639344262296,0.6292134831460674
3hop_comp_64,0.0,sell,3,200,28,0,33,1.0,0.45901639344262296,0.6292134831460674
3hop_comp_67,0.0,classic_lp,0,0,75,0,0,1.0,1.0,1.0
3hop_comp_67,0.0,sell,1,20,28,0,47,1.0,0.37333333333333335,0.5436893203883496
3hop_comp_67,0.0,sell,2,20,37,0,38,1.0,0.49333333333333335,0.6607142857142857
3hop_comp_67,0.0,sell,3,20,42,0,33,1.0,0.56,0.717948717948718
3hop_comp_67,0.0,sell,1,200,28,0,47,1.0,0.37333333333333335,0.5436893203883496
3hop_comp_67,0.0,sell,2,200,37,0,38,1.0,0.49333333333333335,0.6607142857142857
3hop_comp_67,0.0,sell,3,200,42,0,33,1.0,0.56,0.717948717948718
3hop_comp_72,0.0,classic_lp,0,0,74,0,0,1.0,1.0,1.0
3hop_comp_72,0.0,sell,1,20,28,0,46,1.0,0.3783783783783784,0.5490196078431372
3hop_comp_72,0.0,sell,2,20,41,0,33,1.0,0.5540540540540541,0.7130434782608697
3hop_comp_72,0.0,sell,3,20,43,0,31,1.0,0.581081081081081,0.735042735042735
3hop_comp_72,0.0,sell,1,200,28,0,46,1.0,0.3783783783783784,0.5490196078431372
3hop_comp_72,0.0,sell,2,200,41,0,33,1.0,0.5540540540540541,0.7130434782608697
3hop_comp_72,0.0,sell,3,200,43,0,31,1.0,0.581081081081081,0.735042735042735
3hop_comp_73,0.0,classic_lp,0,0,72,0,0,1.0,1.0,1.0
3hop_comp_73,0.0,sell,1,20,35,0,37,1.0,0.4861111111111111,0.6542056074766355
3hop_comp_73,0.0,sell,2,20,35,0,37,1.0,0.4861111111111111,0.6542056074766355
3hop_comp_73,0.0,sell,3,20,35,0,37,1.0,0.4861111111111111,0.6542056074766355
3hop_comp_73,0.0,sell,1,200,35,0,37,1.0,0.4861111111111111,0.6542056074766355
3hop_comp_73,0.0,sell,2,200,35,0,37,1.0,0.4861111111111111,0.6542056074766355
3hop_comp_73,0.0,sell,3,200,35,0,37,1.0,0.4861111111111111,0.6542056074766355
3hop_comp_75,0.0,classic_lp,0,0,71,12,0,0.8554216867469879,1.0,0.922077922077922
3hop_comp_75,0.0,sell,1,20,27,2,44,0.9310344827586207,0.38028169014084506,0.54
3hop_comp_75,0.0,sell,2,20,36,3,35,0.9230769230769231,0.5070422535211268,0.6545454545454545
3hop_comp_75,0.0,sell,3,20,38,5,33,0.8837209302325582,0.5352112676056338,0.6666666666666666
3hop_comp_75,0.0,sell,1,200,27,2,44,0.9310344827586207,0.38028169014084506,0.54
3hop_comp_75,0.0,sell,2,200,36,3,35,0.9230769230769231,0.5070422535211268,0.6545454545454545
3hop_comp_75,0.0,sell,3,200,38,5,33,0.8837209302325582,0.5352112676056338,0.6666666666666666
3hop_comp_77,0.0,classic_lp,0,0,78,0,0,1.0,1.0,1.0
3hop_comp_77,0.0,sell,1,20,24,0,54,1.0,0.3076923076923077,0.47058823529411764
3hop_comp_77,0.0,sell,2,20,35,0,43,1.0,0.44871794871794873,0.6194690265486726
3hop_comp_77,0.0,sell,3,20,35,0,43,1.0,0.44871794871794873,0.6194690265486726
3hop_comp_77,0.0,sell,1,200,24,0,54,1.0,0.3076923076923077,0.47058823529411764
3hop_comp_77,0.0,sell,2,200,35,0,43,1.0,0.44871794871794873,0.6194690265486726
3hop_comp_77,0.0,sell,3,200,35,0,43,1.0,0.44871794871794873,0.6194690265486726
3hop_comp_81,0.0,classic_lp,0,0,70,0,0,1.0,1.0,1.0
3hop_comp_81,0.0,sell,1,20,21,0,49,1.0,0.3,0.4615384615384615
3hop_comp_81,0.0,sell,2,20,31,0,39,1.0,0.44285714285714284,0.6138613861386139
3hop_comp_81,0.0,sell,3,20,31,0,39,1.0,0.44285714285714284,0.6138613861386139
3hop_comp_81,0.0,sell,1,200,21,0,49,1.0,0.3,0.4615384615384615
3hop_comp_81,0.0,sell,2,200,31,0,39,1.0,0.44285714285714284,0.6138613861386139
3hop_comp_81,0.0,sell,3,200,31,0,39,1.0,0.44285714285714284,0.6138613861386139
3hop_comp_84,0.0,classic_lp,0,0,76,0,0,1.0,1.0,1.0
3hop_comp_84,0.0,sell,1,20,26,0,50,1.0,0.34210526315789475,0.5098039215686275
3hop_comp_84,0.0,sell,2,20,31,0,45,1.0,0.40789473684210525,0.5794392523364486
3hop_comp_84,0.0,sell,3,20,36,0,40,1.0,0.47368421052631576,0.6428571428571429
3hop_comp_84,0.0,sell,1,200,26,0,50,1.0,0.34210526315789475,0.5098039215686275
3hop_comp_84,0.0,sell,2,200,31,0,45,1.0,0.40789473684210525,0.5794392523364486
3hop_comp_84,0.0,sell,3,200,36,0,40,1.0,0.47368421052631576,0.6428571428571429
3hop_comp_85,0.0,classic_lp,0,0,69,0,0,1.0,1.0,1.0
3hop_comp_85,0.0,sell,1,20,23,0,46,1.0,0.3333333333333333,0.5
3hop_comp_85,0.0,sell,2,20,28,0,41,1.0,0.4057971014492754,0.577319587628866
3hop_comp_85,0.0,sell,3,20,28,0,41,1.0,0.4057971014492754,0.577319587628866
3hop_comp_85,0.0,sell,1,200,23,0,46,1.0,0.3333333333333333,0.5
3hop_comp_85,0.0,sell,2,200,28,0,41,1.0,0.4057971014492754,0.577319587628866
3hop_comp_85,0.0,sell,3,200,28,0,41,1.0,0.4057971014492754,0.577319587628866
3hop_comp_86,0.0,classic_lp,0,0,77,0,0,1.0,1.0,1.0
3hop_comp_86,0.0,sell,1,20,27,0,50,1.0,0.35064935064935066,0.5192307692307693
3hop_comp_86,0.0,sell,2,20,38,0,39,1.0,0.4935064935064935,0.6608695652173914
3hop_comp_86,0.0,sell,3,20,38,0,39,1.0,0.4935064935064935,0.6608695652173914
3hop_comp_86,0.0,sell,1,200,27,0,50,1.0,0.35064935064935066,0.5192307692307693
3hop_comp_86,0.0,sell,2,200,38,0,39,1.0,0.4935064935064935,0.6608695652173914
3hop_comp_86,0.0,sell,3,200,38,0,39,1.0,0.4935064935064935,0.6608695652173914
3hop_comp_87,0.0,classic_lp,0,0,79,0,0,1.0,1.0,1.0
3hop_comp_87,0.0,sell,1,20,39,0,40,1.0,0.4936708860759494,0.6610169491525424
3hop_comp_87,0.0,sell,2,20,47,0,32,1.0,0.5949367088607594,0.7460317460317459
3hop_comp_87,0.0,sell,3,20,45,0,34,1.0,0.569620253164557,0.7258064516129034
3hop_comp_87,0.0,sell,1,200,39,0,40,1.0,0.4936708860759494,0.6610169491525424
3hop_comp_87,0.0,sell,2,200,47,0,32,1.0,0.5949367088607594,0.7460317460317459
3hop_comp_87,0.0,sell,3,200,49,0,30,1.0,0.620253164556962,0.765625
3hop_comp_94,0.0,classic_lp,0,0,56,0,0,1.0,1.0,1.0
3hop_comp_94,0.0,sell,1,20,15,0,41,1.0,0.26785714285714285,0.4225352112676056
3hop_comp_94,0.0,sell,2,20,21,0,35,1.0,0.375,0.5454545454545454
3hop_comp_94,0.0,sell,3,20,27,0,29,1.0,0.48214285714285715,0.6506024096385542
3hop_comp_94,0.0,sell,1,200,15,0,41,1.0,0.26785714285714285,0.4225352112676056
3hop_comp_94,0.0,sell,2,200,21,0,35,1.0,0.375,0.5454545454545454
3hop_comp_94,0.0,sell,3,200,27,0,29,1.0,0.48214285714285715,0.6506024096385542
3hop_comp_96,0.0,classic_lp,0,0,69,0,0,1.0,1.0,1.0
3hop_comp_96,0.0,sell,1,20,26,0,43,1.0,0.37681159420289856,0.5473684210526316
3hop_comp_96,0.0,sell,2,20,38,0,31,1.0,0.5507246376811594,0.7102803738317757
3hop_comp_96,0.0,sell,3,20,38,0,31,1.0,0.5507246376811594,0.7102803738317757
3hop_comp_96,0.0,sell,1,200,26,0,43,1.0,0.37681159420289856,0.5473684210526316
3hop_comp_96,0.0,sell,2,200,38,0,31,1.0,0.5507246376811594,0.7102803738317757
3hop_comp_96,0.0,sell,3,200,38,0,31,1.0,0.5507246376811594,0.7102803738317757
3hop_comp_100,0.0,classic_lp,0,0,52,0,0,1.0,1.0,1.0
3hop_comp_100,0.0,sell,1,20,16,0,36,1.0,0.3076923076923077,0.47058823529411764
3hop_comp_100,0.0,sell,2,20,21,0,31,1.0,0.40384615384615385,0.5753424657534247
3hop_comp_100,0.0,sell,3,20,21,0,31,1.0,0.40384615384615385,0.5753424657534247
3hop_comp_100,0.0,sell,1,200,16,0,36,1.0,0.3076923076923077,0.47058823529411764
3hop_comp_100,0.0,sell,2,200,21,0,31,1.0,0.40384615384615385,0.5753424657534247
3hop_comp_100,0.0,sell,3,200,21,0,31,1.0,0.40384615384615385,0.5753424657534247
3hop_comp_103,0.0,classic_lp,0,0,51,0,0,1.0,1.0,1.0
3hop_comp_103,0.0,sell,1,20,15,0,36,1.0,0.29411764705882354,0.45454545454545453
3hop_comp_103,0.0,sell,2,20,22,0,29,1.0,0.43137254901960786,0.6027397260273972
3hop_comp_103,0.0,sell,3,20,22,0,29,1.0,0.43137254901960786,0.6027397260273972
3hop_comp_103,0.0,sell,1,200,15,0,36,1.0,0.29411764705882354,0.45454545454545453
3hop_comp_103,0.0,sell,2,200,22,0,29,1.0,0.43137254901960786,0.6027397260273972
3hop_comp_103,0.0,sell,3,200,22,0,29,1.0,0.43137254901960786,0.6027397260273972
3hop_comp_105,0.0,classic_lp,0,0,75,0,0,1.0,1.0,1.0
3hop_comp_105,0.0,sell,1,20,25,0,50,1.0,0.3333333333333333,0.5
3hop_comp_105,0.0,sell,2,20,33,0,42,1.0,0.44,0.6111111111111112
3hop_comp_105,0.0,sell,3,20,42,0,33,1.0,0.56,0.717948717948718
3hop_comp_105,0.0,sell,1,200,25,0,50,1.0,0.3333333333333333,0.5
3hop_comp_105,0.0,sell,2,200,33,0,42,1.0,0.44,0.6111111111111112
3hop_comp_105,0.0,sell,3,200,42,0,33,1.0,0.56,0.717948717948718
3hop_comp_108,0.0,classic_lp,0,0,76,0,0,1.0,1.0,1.0
3hop_comp_108,0.0,sell,1,20,27,0,49,1.0,0.35526315789473684,0.5242718446601942
3hop_comp_108,0.0,sell,2,20,39,0,37,1.0,0.5131578947368421,0.6782608695652175
3hop_comp_108,0.0,sell,3,20,39,0,37,1.0,0.5131578947368421,0.6782608695652175
3hop_comp_108,0.0,sell,1,200,27,0,49,1.0,0.35526315789473684,0.5242718446601942
3hop_comp_108,0.0,sell,2,200,39,0,37,1.0,0.5131578947368421,0.6782608695652175
3hop_comp_108,0.0,sell,3,200,39,0,37,1.0,0.5131578947368421,0.6782608695652175
3hop_comp_109,0.0,classic_lp,0,0,78,0,0,1.0,1.0,1.0
3hop_comp_109,0.0,sell,1,20,31,0,47,1.0,0.3974358974358974,0.5688073394495413
3hop_comp_109,0.0,sell,2,20,44,0,34,1.0,0.5641025641025641,0.7213114754098361
3hop_comp_109,0.0,sell,3,20,47,0,31,1.0,0.6025641025641025,0.7519999999999999
3hop_comp_109,0.0,sell,1,200,31,0,47,1.0,0.3974358974358974,0.5688073394495413
3hop_comp_109,0.0,sell,2,200,44,0,34,1.0,0.5641025641025641,0.7213114754098361
3hop_comp_109,0.0,sell,3,200,47,0,31,1.0,0.6025641025641025,0.7519999999999999
3hop_comp_110,0.0,classic_lp,0,0,55,0,0,1.0,1.0,1.0
3hop_comp_110,0.0,sell,1,20,17,0,38,1.0,0.3090909090909091,0.4722222222222222
