question_id,noise_rate,mode,n_gold,n_derived_goals,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_26,0.5,sell,80,32,31,1,49,0.96875,0.3875,0.5535714285714286
3hop_comp_29,0.5,classic_lp,78,84,76,8,2,0.9047619047619048,0.9743589743589743,0.9382716049382716
3hop_comp_29,0.5,sell,78,38,33,5,45,0.868421052631579,0.4230769230769231,0.5689655172413792
3hop_comp_32,0.5,classic_lp,80,75,75,0,5,1.0,0.9375,0.967741935483871
3hop_comp_32,0.5,sell,80,28,28,0,52,1.0,0.35,0.5185185185185185
3hop_comp_35,0.5,classic_lp,77,81,69,12,8,0.8518518518518519,0.8961038961038961,0.8734177215189873
3hop_comp_35,0.5,sell,77,25,22,3,55,0.88,0.2857142857142857,0.43137254901960775
3hop_comp_36,0.5,classic_lp,71,63,51,12,20,0.8095238095238095,0.7183098591549296,0.7611940298507462
3hop_comp_36,0.5,sell,71,18,14,4,57,0.7777777777777778,0.19718309859154928,0.3146067415730337
3hop_comp_43,0.5,classic_lp,53,54,35,19,18,0.6481481481481481,0.660377358490566,0.6542056074766356
3hop_comp_43,0.5,sell,53,15,12,3,41,0.8,0.22641509433962265,0.35294117647058826
3hop_comp_46,0.5,classic_lp,65,77,56,21,9,0.7272727272727273,0.8615384615384616,0.7887323943661972
3hop_comp_46,0.5,sell,65,25,16,9,49,0.64,0.24615384615384617,0.35555555555555557
3hop_comp_53,0.5,classic_lp,75,83,75,8,0,0.9036144578313253,1.0,0.9493670886075949
3hop_comp_53,0.5,sell,75,21,21,0,54,1.0,0.28,0.43750000000000006
3hop_comp_59,0.5,classic_lp,66,66,66,0,0,1.0,1.0,1.0
3hop_comp_59,0.5,sell,66,15,15,0,51,1.0,0.22727272727272727,0.37037037037037035
3hop_comp_60,0.5,classic_lp,64,60,60,0,4,1.0,0.9375,0.967741935483871
3hop_comp_60,0.5,sell,64,26,26,0,38,1.0,0.40625,0.5777777777777777
3hop_comp_64,0.5,classic_lp,61,67,53,14,8,0.7910447761194029,0.8688524590163934,0.828125
3hop_comp_64,0.5,sell,61,23,22,1,39,0.9565217391304348,0.36065573770491804,0.5238095238095238
3hop_comp_67,0.5,classic_lp,75,76,70,6,5,0.9210526315789473,0.9333333333333333,0.9271523178807947
3hop_comp_67,0.5,sell,75,29,28,1,47,0.9655172413793104,0.37333333333333335,0.5384615384615384
3hop_comp_72,0.5,classic_lp,74,80,71,9,3,0.8875,0.9594594594594594,0.922077922077922
3hop_comp_72,0.5,sell,74,31,27,4,47,0.8709677419354839,0.36486486486486486,0.5142857142857142
3hop_comp_73,0.5,classic_lp,72,81,63,18,9,0.7777777777777778,0.875,0.823529411764706
3hop_comp_73,0.5,sell,72,39,32,7,40,0.8205128205128205,0.4444444444444444,0.5765765765765766
3hop_comp_75,0.5,classic_lp,71,60,55,5,16,0.9166666666666666,0.7746478873239436,0.8396946564885496
3hop_comp_75,0.5,sell,71,23,20,3,51,0.8695652173913043,0.28169014084507044,0.425531914893617
3hop_comp_77,0.5,classic_lp,78,74,74,0,4,1.0,0.9487179487179487,0.9736842105263158
3hop_comp_77,0.5,sell,78,25,25,0,53,1.0,0.32051282051282054,0.48543689320388356
3hop_comp_81,0.5,classic_lp,70,68,62,6,8,0.9117647058823529,0.8857142857142857,0.8985507246376812
3hop_comp_81,0.5,sell,70,20,20,0,50,1.0,0.2857142857142857,0.4444444444444445
3hop_comp_84,0.5,classic_lp,76,73,67,6,9,0.9178082191780822,0.881578947368421,0.8993288590604027
3hop_comp_84,0.5,sell,76,26,25,1,51,0.9615384615384616,0.32894736842105265,0.4901960784313726
3hop_comp_85,0.5,classic_lp,69,84,64,20,5,0.7619047619047619,0.927536231884058,0.8366013071895425
3hop_comp_85,0.5,sell,69,26,21,5,48,0.8076923076923077,0.30434782608695654,0.4421052631578948
3hop_comp_86,0.5,classic_lp,77,82,71,11,6,0.8658536585365854,0.922077922077922,0.8930817610062892
3hop_comp_86,0.5,sell,77,29,28,1,49,0.9655172413793104,0.36363636363636365,0.5283018867924528
3hop_comp_87,0.5,classic_lp,79,81,77,4,2,0.9506172839506173,0.9746835443037974,0.9625
3hop_comp_87,0.5,sell,79,40,40,0,39,1.0,0.5063291139240507,0.6722689075630253
3hop_comp_94,0.5,classic_lp,56,53,31,22,25,0.5849056603773585,0.5535714285714286,0.5688073394495413
3hop_comp_94,0.5,sell,56,17,11,6,45,0.6470588235294118,0.19642857142857142,0.3013698630136986
