K,hops,mode,trace_size,verify_time_us,budget_used
5,1,sell,0,25.375004042871296,0
5,1,sell,0,7.542003004346043,0
5,1,sell,0,4.250003257766366,0
5,1,sell,0,4.875000740867108,0
5,1,sell,0,4.41699376096949,0
5,1,sell,0,5.375004548113793,0
5,1,sell,0,3.625005774665624,0
5,1,sell,0,3.583998477552086,0
5,1,sell,0,5.041998520027846,0
5,1,sell,0,3.9579972508363426,0
5,1,sell,0,4.084002284798771,0
5,1,sell,0,4.0000013541430235,0
5,1,sell,0,3.25000291923061,0
5,1,sell,0,3.541994374245405,0
5,1,sell,0,3.2089956221170723,0
5,1,sell,0,3.6659985198639333,0
5,1,sell,0,9.750001481734216,0
5,1,sell,0,4.125002305954695,0
5,1,sell,0,4.1669991333037615,0
5,1,sell,0,3.207998815923929,0
5,1,sell,0,6.958005542401224,0
5,1,sell,0,3.8750004023313522,0
5,1,sell,0,3.8330035749822855,0
5,1,sell,0,3.6669953260570765,0
5,1,sell,0,3.207998815923929,0
5,1,sell,0,3.6249984987080097,0
5,1,sell,0,4.04199818149209,0
5,1,sell,0,3.8750004023313522,0
5,1,sell,0,5.249996320344508,0
5,1,sell,0,3.749999450519681,0
5,1,sell,0,4.542001988738775,0
5,1,sell,0,3.8330035749822855,0
5,1,sell,0,3.5000048228539526,0
5,1,sell,0,3.4580007195472717,0
5,1,sell,0,3.459004801698029,0
5,1,sell,0,3.2910029403865337,0
5,1,sell,0,3.417000698391348,0
5,1,sell,0,3.291999746579677,0
5,1,sell,0,4.916997568216175,0
5,1,sell,0,3.9579972508363426,0
5,1,sell,0,3.8750004023313522,0
5,1,sell,0,4.792003892362118,0
5,1,sell,0,4.042005457449704,0
5,1,sell,0,4.083005478605628,0
5,1,sell,0,3.6659985198639333,0
5,1,sell,0,4.417001036927104,0
5,1,sell,0,3.6249984987080097,0
5,1,sell,0,3.707995347213,0
5,1,sell,0,3.417000698391348,0
5,1,sell,0,3.3750038710422814,0
5,1,sell,0,3.417000698391348,0
5,1,sell,0,4.70800296170637,0
5,1,sell,0,3.7080026231706142,0
5,1,sell,0,3.625005774665624,0
5,1,sell,0,4.165995051153004,0
5,1,sell,0,3.1249946914613247,0
5,1,sell,0,3.207998815923929,0
5,1,sell,0,3.0000010156072676,0
5,1,sell,0,3.0410010367631912,0
5,1,sell,0,3.6249984987080097,0
5,1,sell,0,3.25000291923061,0
5,1,sell,0,4.499997885432094,0
5,1,sell,0,4.083995008841157,0
5,1,sell,0,4.707995685748756,0
5,1,sell,0,4.333000106271356,0
5,1,sell,0,3.6659985198639333,0
5,1,sell,0,8.875002095010132,0
5,1,sell,0,5.49999822396785,0
5,1,sell,0,4.374996933620423,0
5,1,sell,0,4.542001988738775,0
5,1,sell,0,3.4579934435896575,0
5,1,sell,0,3.7089994293637574,0
5,1,sell,0,4.167006409261376,0
5,1,sell,0,4.333000106271356,0
5,1,sell,0,3.4580007195472717,0
5,1,sell,0,3.7909994716756046,0
5,1,sell,0,3.25000291923061,0
5,1,sell,0,3.8329962990246713,0
5,1,sell,0,5.791000148747116,0
5,1,sell,0,4.041001375298947,0
5,1,sell,0,3.917004505638033,0
5,1,sell,0,5.250003596302122,0
5,1,sell,0,3.540997568052262,0
5,1,sell,0,3.207998815923929,0
5,1,sell,0,3.458997525740415,0
5,1,sell,0,3.1669987947680056,0
5,1,sell,0,3.8329962990246713,0
5,1,sell,0,3.3329997677356005,0
5,1,sell,0,5.041998520027846,0
5,1,sell,0,3.3329997677356005,0
5,1,sell,0,3.7909994716756046,0
5,1,sell,0,3.4999975468963385,0
5,1,sell,0,3.3329997677356005,0
5,1,sell,0,3.1669987947680056,0
5,1,sell,0,3.582994395401329,0
5,1,sell,0,3.125001967418939,0
5,1,sell,0,3.207998815923929,0
5,1,sell,0,3.0410010367631912,0
5,1,sell,0,3.0419978429563344,0
5,1,sell,0,3.417000698391348,0
5,1,sell,0,3.374996595084667,0
5,1,sell,0,3.1249946914613247,0
5,1,sell,0,3.16700607072562,0
5,1,sell,0,3.040993760805577,0
5,1,classic_lp,0,3.374996595084667,0
5,1,classic_lp,0,3.1669987947680056,0
5,1,classic_lp,0,3.2909956644289196,0
5,1,classic_lp,0,4.083995008841157,0
5,1,classic_lp,0,3.3329997677356005,0
5,1,classic_lp,0,3.082997864112258,0
5,1,classic_lp,0,3.25000291923061,0
5,1,classic_lp,0,4.208995960652828,0
5,1,classic_lp,0,3.291999746579677,0
5,1,classic_lp,0,4.7909998102113605,0
5,1,classic_lp,0,3.7080026231706142,0
5,1,classic_lp,0,3.417000698391348,0
5,1,classic_lp,0,3.3750038710422814,0
5,1,classic_lp,0,3.374996595084667,0
5,1,classic_lp,0,4.374996933620423,0
5,1,classic_lp,0,3.458997525740415,0
5,1,classic_lp,0,3.916997229680419,0
5,1,classic_lp,0,3.1669987947680056,0
5,1,classic_lp,0,4.125002305954695,0
5,1,classic_lp,0,3.417000698391348,0
5,1,classic_lp,0,3.3750038710422814,0
5,1,classic_lp,0,3.5410048440098763,0
5,1,classic_lp,0,3.5000048228539526,0
5,1,classic_lp,0,3.8329962990246713,0
5,1,classic_lp,0,3.4999975468963385,0
5,1,classic_lp,0,3.3750038710422814,0
5,1,classic_lp,0,3.5000048228539526,0
5,1,classic_lp,0,3.249995643272996,0
5,1,classic_lp,0,3.207998815923929,0
5,1,classic_lp,0,3.0419978429563344,0
5,1,classic_lp,0,3.916997229680419,0
5,1,classic_lp,0,3.5420016502030194,0
5,1,classic_lp,0,3.417000698391348,0
5,1,classic_lp,0,3.2909956644289196,0
5,1,classic_lp,0,3.125001967418939,0
5,1,classic_lp,0,3.125001967418939,0
5,1,classic_lp,0,3.207998815923929,0
5,1,classic_lp,0,3.3329997677356005,0
5,1,classic_lp,0,3.1249946914613247,0
5,1,classic_lp,0,3.207998815923929,0
5,1,classic_lp,0,3.291999746579677,0
5,1,classic_lp,0,3.1669987947680056,0
5,1,classic_lp,0,3.0410010367631912,0
5,1,classic_lp,0,3.0000010156072676,0
5,1,classic_lp,0,3.083005140069872,0
5,1,classic_lp,0,3.125001967418939,0
5,1,classic_lp,0,3.083005140069872,0
5,1,classic_lp,0,3.8330035749822855,0
5,1,classic_lp,0,3.249995643272996,0
5,1,classic_lp,0,3.249995643272996,0
5,1,classic_lp,0,3.416003892198205,0
5,1,classic_lp,0,3.249995643272996,0
5,1,classic_lp,0,3.291999746579677,0
