budget_k,hops,hits1,proof_rate
1,2,0.9933333333333333,0.9933333333333333
1,3,0.0,0.0
2,2,0.9933333333333333,0.9933333333333333
2,3,0.2733333333333333,0.2733333333333333
5,2,0.9933333333333333,0.9933333333333333
5,3,0.2733333333333333,0.2733333333333333
